data,semana_epidemiologica,casos_dengue,ano,chuva,temperatura_media,umidade,pressao,week_start,ANO_SEMANA,NOTIFICACOES,rain_sum,temp_mean,humidity_mean,pressure_mean,casos_minus_notificacoes,casos_minus_notificacoes_abs,chuva_minus_rain_sum,temperatura_minus_temp_mean,umidade_minus_humidity_mean,pressao_minus_pressure_mean
2023-04-30,202318,1427,2023,27.2,20.34,71.05,888.19,2023-04-30,202318,1145,27.200000000000003,20.335714285714285,71.04761904761905,888.1880952380952,282,282,-3.552713678800501e-15,0.004285714285714448,0.0023809523809461552,0.0019047619048251363
2023-05-07,202319,1245,2023,1.2,20.53,68.29,888.1,2023-05-07,202319,969,1.2,20.52857142857143,68.28571428571429,888.1011904761906,276,276,0.0,0.001428571428572667,0.004285714285714448,-0.0011904761905725536
2023-05-14,202320,1256,2023,0.0,19.65,61.54,889.27,2023-05-14,202320,956,0.0,19.650000000000002,61.535714285714285,889.2738095238095,300,300,0.0,-3.552713678800501e-15,0.004285714285714448,-0.0038095238095365858
2023-05-21,202321,957,2023,0.0,19.11,64.61,889.06,2023-05-21,202321,745,0.0,19.105952380952377,64.60714285714286,889.0589285714286,212,212,0.0,0.004047619047621964,0.0028571428571382285,0.0010714285713220306
2023-05-28,202322,959,2023,0.0,20.48,65.35,889.3,2023-05-28,202322,754,0.0,20.48035714285714,65.35119047619047,889.2994047619047,205,205,0.0,-0.0003571428571405022,-0.0011904761904730776,0.0005952380952294334
2023-06-04,202323,874,2023,0.0,19.02,62.34,890.52,2023-06-04,202323,666,0.0,19.017857142857142,62.339285714285715,890.5184523809523,208,208,0.0,0.002142857142857224,0.0007142857142881098,0.0015476190476420015
2023-06-11,202324,918,2023,2.0,20.75,65.25,889.69,2023-06-11,202324,724,2.0,20.751785714285713,65.25,889.6857142857143,194,194,0.0,-0.0017857142857131691,0.0,0.00428571428574287
2023-06-18,202325,759,2023,0.2,18.44,62.15,890.52,2023-06-18,202325,591,0.2,18.441666666666666,62.14880952380952,890.5166666666667,168,168,0.0,-0.0016666666666651508,0.001190476190480183,0.0033333333333303017
2023-06-25,202326,614,2023,0.0,18.42,60.18,890.72,2023-06-25,202326,445,0.0,18.42440476190476,60.17857142857143,890.717857142857,169,169,0.0,-0.004404761904758914,0.0014285714285691142,0.0021428571429851218
2023-07-02,202327,651,2023,0.0,17.88,52.96,889.74,2023-07-02,202327,454,0.0,17.879166666666666,52.95833333333333,889.735119047619,197,197,0.0,0.0008333333333325754,0.0016666666666722563,0.004880952380972303
